z,exposure,focusRetention,saturation,p99Intensity,image
0,25,100.0,0.0,26.1,assets/z0_e25.png
1,25,90.56,0.0,25.97,assets/z1_e25.png
2,25,72.81,0.0,25.57,assets/z2_e25.png
3,25,59.34,0.0,25.33,assets/z3_e25.png
4,25,50.52,0.0,24.91,assets/z4_e25.png
6,25,40.24,0.0,24.1,assets/z6_e25.png
8,25,35.92,0.0,23.52,assets/z8_e25.png
0,50,100.0,0.0,52.05,assets/z0_e50.png
1,50,90.56,0.0,51.79,assets/z1_e50.png
2,50,72.81,0.0,50.99,assets/z2_e50.png
3,50,59.34,0.0,50.5,assets/z3_e50.png
4,50,50.52,0.0,49.66,assets/z4_e50.png
6,50,40.24,0.0,48.04,assets/z6_e50.png
8,50,35.92,0.0,46.88,assets/z8_e50.png
0,100,100.0,1.65,100.0,assets/z0_e100.png
1,100,91.28,1.58,100.0,assets/z1_e100.png
2,100,74.47,1.53,100.0,assets/z2_e100.png
3,100,61.16,1.42,100.0,assets/z3_e100.png
4,100,52.24,1.24,99.17,assets/z4_e100.png
6,100,41.68,0.27,95.93,assets/z6_e100.png
8,100,37.2,0.0,93.61,assets/z8_e100.png
